Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	STAR_mqc-generalstats-star-uniquely_mapped	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc
LP_1	12.78723697335679	16840909.0	3335411	53.92					
LP_2	14.319736283799736	13121845.0	3819274	51.06					
LP_3	24.438377412929785	17675949.0	6475333	66.8					
SL_1	27.89048684162975	25861167.0	11205861	74.95					
SL_2	25.605134828207593	23740653.0	10132413	69.68					
SL_3	26.556825046720213	24634410.0	10401850	73.49					
SRR7655996.1					50.0	34503812.0	27.27272727272727	50.45155445157931	48.0
SRR7655997.1					50.0	34072117.0	36.36363636363637	58.91308362060628	50.0
SRR7655998.1					50.0	33522006.0	36.36363636363637	55.262617271403045	49.0
SRR7656005.1					50.0	31233821.0	27.27272727272727	27.732912109255977	53.0
SRR7656006.1					50.0	25699575.0	18.181818181818183	36.30374277554266	55.0
SRR7656007.1					50.0	26459330.0	27.27272727272727	21.780164016432508	51.0
