Module	Section	Sample Name	Source
FastQC	all_sections	SRR7655998.1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fastq/SL/SRR7655998.1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR7655997.1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fastq/SL/SRR7655997.1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR7656005.1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fastq/LP/SRR7656005.1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR7656006.1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fastq/LP/SRR7656006.1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR7655996.1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fastq/SL/SRR7655996.1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR7656007.1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fastq/LP/SRR7656007.1_fastqc/fastqc_data.txt
featureCounts	all_sections	LP_1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fc_gene.txt.summary
featureCounts	all_sections	SL_1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fc_gene.txt.summary
featureCounts	all_sections	LP_2	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fc_gene.txt.summary
featureCounts	all_sections	SL_3	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fc_gene.txt.summary
featureCounts	all_sections	LP_3	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fc_gene.txt.summary
featureCounts	all_sections	SL_2	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/fc_gene.txt.summary
STAR	SummaryLog	LP_1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/alignment/LP_1Log.final.out
STAR	SummaryLog	SL_1	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/alignment/SL_1Log.final.out
STAR	SummaryLog	LP_2	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/alignment/LP_2Log.final.out
STAR	SummaryLog	SL_3	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/alignment/SL_3Log.final.out
STAR	SummaryLog	LP_3	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/alignment/LP_3Log.final.out
STAR	SummaryLog	SL_2	/pbtech_mounts/homes064/miz4003/angsd/angsd_project/alignment/SL_2Log.final.out
